name,lat,lon
Boquerón del Diablo,-12.4820614,-76.8008533
Templo del Sol,-12.2626734,-76.9016889
Piramide Rampa 2,-12.2553523,-76.8993101
Casa de los Quipus,-12.2560044,-76.896438
Acllawasi,-12.2566479,-76.9053787
Templo Pintado,-12.2602609,-76.9013264
Cementerio Max Uhle,-12.259623,-76.9007186
Templo viejo,-12.2594395,-76.899812
Conjunto de Adobitos,-12.2553942,-76.9064387
Calle Norte-Sur,-12.2556572,-76.9014392
Golden Inn,-12.1322082,-76.9780844
Cinépolis,-12.0069165,-77.0584203
Plaza Perú,-12.0449049,-77.0307556
Plazuela Santo Domigo,-12.0445459,-77.0319325
Tienda de souvenir,-12.0446719,-77.0316857
Momento Taulichusco,-12.0454944,-77.0313686
José Olaya,-12.0468248,-77.0312417
La Piedra del Diablo,-12.0509059,-77.0211078
Casa O'Higgins,-12.0475986,-77.0325514
Casa Aliaga,-12.0444108,-77.0302883
Casa de la Literatura Peruana,-12.0444153,-77.0287553
Casa Museo Bodega y Cuadra,-12.0447328,-77.0286216
Francisco Pizarro,-12.0453201,-77.0316281
Centro de Artesania,-12.0453959,-77.0281506
Museo Marina Nuñez del Prado,-12.1010569,-77.0339992
Rubi,-12.0790463,-77.0791603
Blue Star,-12.0910632,-77.0098508
Monumento al soldado desconocido,-12.1718244,-77.0308665
General Miguel Iglesias,-12.1712389,-77.0294437
Cristo del Pacífico,-12.174259,-77.0287723
Divercity,-12.0848533,-76.9746389
Foresta Hotel & Suites,-12.1026611,-77.0377318
Villa Loka,-12.1134717,-76.8060855
Huaca El Paraíso,-11.9539716,-77.1183373
Teatro Plaza Norte,-12.0065761,-77.0588308
Huaca Middendorf,-12.0640708,-77.0877765
Paseo de caballo de paso,-12.0675755,-77.0900734
Centro Español del Perú,-12.083177,-77.0475211
Miraflores House,-12.1137173,-77.0371448
Mercado Productores de Santa Anita,-12.0418806,-76.9482449
Hotel Corpac,-12.1071818,-77.0119843
Mercado Villa Jardín,-12.0782484,-76.9920742
Gran Hall,-12.0449997,-77.0298955
Salón Dorado,-12.0448119,-77.0300304
Salón de Jorge Basadre,-12.0448686,-77.0303705
Cines Plaza Jesús María,-12.0738781,-77.0505206
Galaria San Francisco,-12.0456949,-77.0283195
Patio de Honor del Palacio de Gobierno,-12.0452175,-77.0300495
Kaclla,-12.1262802,-77.0324318
Mercado N° de Santa Clara,-12.0191716,-76.886805
South American Explorers Lima Clubhouse,-12.1169895,-77.0385796
Monumento Inmaculado Corazón de María,-12.0972995,-77.0720948
Tranvía Histórico,-12.068776,-77.084089
Tierra Viva,-12.125779,-77.0283503
Tourist Information,-12.1319554,-77.0305068
Mercado de salamanca,-12.0753999,-76.987557
El Señorial,-12.1289625,-77.0286559
Munay Hostel,-12.1222173,-77.0399402
Casa Dary Perú,-12.1213415,-77.0384301
Hospedaje Dimar Inn,-12.1170689,-77.0286789
SunFlower Inn,-12.1175715,-77.0288096
Lima Hostel,-12.1357858,-77.0103885
Hotel Caminos del Inca Inn,-12.1434949,-76.9854179
Teatro Peruano Japonés,-12.0875026,-77.0552483
Multicines UVK El Agustino,-12.0407905,-77.0031214
ECO Hostel Redpsycho Llama,-12.1181935,-77.0284106
Pariwana Hostel,-12.1197181,-77.028852
Bayview Hotel,-12.1306242,-77.0292142
Hostal el Patio,-12.1222004,-77.0272357
Parque de la PIP,-12.0771211,-77.0255308
Huaca 54,-12.0654976,-77.0931123
Entrada Parque Metropolitano Paul Poblet Lind,-12.1973218,-76.837556
Monumento al Trabajador,-12.1912351,-76.9455964
Movie Time Multicine,-12.2311596,-76.9106183
Cineplanet Prime,-12.0762691,-77.0835012
Hostal Private,-12.0238222,-77.0520656
Centro Representativo Quipan,-12.0240582,-77.0524397
"Centro Cultural ""José María Arguedas""",-12.0951985,-77.0325933
Ibis,-12.1289829,-77.029921
Plazuela de la Virgen María,-12.0881734,-77.0388526
Casa de La Cultura,-12.0991398,-77.0346265
"Paisaje Cultural Arqueológico ""Quebrada Sol y Luna""",-12.1939345,-76.8687626
One Hotel,-12.1439566,-77.0221368
"Paisaje Cultural Arqueológico ""Camino Prehispánico Pumihausi - Curva Zapata",-12.1481834,-76.8385603
A las Víctimas de Tarata,-12.1235245,-77.0284574
El Beso,-12.1269913,-77.0366277
